service_url,verified,service_id,account,details_url,agencies/0/agency_id,agencies/0/agency_name,agencies/0/agency_url,organization,agencies/1/agency_id,agencies/1/agency_name,agencies/1/agency_url,agencies/2/agency_id,agencies/2/agency_name,agencies/2/agency_url
http://facebook.com/166thAirliftWing,true,facebook,166thAirliftWing,http://registry.usa.gov/accounts/facebook/166thAirliftWing,airforce,Department of the Air Force,http://www.af.mil/,166th Airlift Wing Delaware Air National Guard,,,,,,
http://facebook.com/167464335667,true,facebook,167464335667,http://registry.usa.gov/accounts/facebook/167464335667,state,Department of State,http://www.state.gov,U.S. Embassy Germany: Exchanges and Study in the U.S.,,,,,,
http://facebook.com/168915473153818,true,facebook,168915473153818,http://registry.usa.gov/accounts/facebook/168915473153818,interior,Department of the Interior (DOI),http://www.doi.gov,USFWS Iroquois National Wildlife Refuge,,,,,,
http://facebook.com/169307843952,true,facebook,169307843952,http://registry.usa.gov/accounts/facebook/169307843952,state,Department of State,http://www.state.gov,American Corner Gdansk,,,,,,
http://facebook.com/170330008041,true,facebook,170330008041,http://registry.usa.gov/accounts/facebook/170330008041,state,Department of State,http://www.state.gov,U.S. Consulate General - Monterrey (American Citizen Services),,,,,,
http://facebook.com/170411379787111,true,facebook,170411379787111,http://registry.usa.gov/accounts/facebook/170411379787111,doi,Department of the Interior (DOI),http://www.doi.gov,DOI OST,,,,,,
http://facebook.com/171829429505534,true,facebook,171829429505534,http://registry.usa.gov/accounts/facebook/171829429505534,nasa,National Aeronautics and Space Administration (NASA),http://www.nasa.gov,NASA,,,,,,
http://facebook.com/172371546114297,true,facebook,172371546114297,http://registry.usa.gov/accounts/facebook/172371546114297,interior,Department of the Interior (DOI),http://www.doi.gov,USFWS Environmental Contaminants Program,,,,,,
http://facebook.com/17536414687,true,facebook,17536414687,http://registry.usa.gov/accounts/facebook/17536414687,state,Department of State,http://www.state.gov,"American Corners & Centers, Kazakhstan",,,,,,
http://facebook.com/175380479155058,true,facebook,175380479155058,http://registry.usa.gov/accounts/facebook/175380479155058,dot,Department of Transportation (DOT),http://www.dot.gov,Federal Highway Administration,,,,,,
http://facebook.com/175454024900,true,facebook,175454024900,http://registry.usa.gov/accounts/facebook/175454024900,state,Department of State,http://www.state.gov,InfoUSA - Bratislava,,,,,,
http://facebook.com/176655402990,true,facebook,176655402990,http://registry.usa.gov/accounts/facebook/176655402990,state,Department of State,http://www.state.gov,U.S. Embassy - Mongolia,,,,,,
